CON,-3,2,53
CON,54,-28,34
CON,19,-8,64
CON,-16,-5,71
CON,-10,-2,42
CON,37,1,-4
CON,13,-1,70
CON,7,8,51
CON,-45,0,9
CON,49,8,-1
CON,-34,3,4
CON,-51,8,-2
CON,-5,18,34
CON,36,10,1
PREC,-7,-55,27
PREC,6,-59,35
PREC,-3,-49,13
PREC,8,-48,31
PREC,-2,-37,44
PREC,-13,-40,1
PREC,-46,-61,21
PREC,43,-72,28
PREC,-44,-65,35
PREC,-39,-75,44
PREC,-11,-56,16
PREC,15,-63,26
PREC,11,-54,17
PREC,52,-59,36
PREC,47,-50,29
SN,11,-39,50
SN,55,-45,37
SN,42,0,47
SN,31,33,26
SN,48,22,10
SN,-35,20,0
SN,36,22,3
SN,37,32,-2
SN,34,16,-8
SN,-11,26,25
SN,-1,15,44
SN,-28,52,21
SN,0,30,27
SN,5,23,37
SN,10,22,27
SN,31,56,14
SN,26,50,27
SN,-39,51,17
